Camp,Лид,Колид,LNT,Есть описание,Описание,Расписание,Ссылка
Организаторы,@khvimka,@snail_mail,@pavel feklov,,,,
Стройка,@khvimka,@nikomattews,@pavel feklov,,,,
,,,,,,,
Зендо,@nikomattews,@Vsemktosnami,@rawnest,Да,"🌀 Zendo @ Tramontana'25

Zendo – это департамент, где каждый участник Ветерка может получить поддержку в измененных состояниях, присутствие рядом, комфортное и безопасное пространство.

В Zendo можно получить неклиническую, бережную поддержку во время сложного эмоционального или психоделического опыта. 
Мы не лечим, не исправляем и не вмешиваемся. 
Мы находимся рядом, чтобы быть с тобой в том, что ты проживаешь.

Когда стоит прийти в Zendo:
– если тебе тяжело, тревожно, перегруз
– если ты в трипе и чувствуешь, что теряешь опору
– если ты просто хочешь побыть в тишине и почувствовать заботу
– если тебе нужно обсудить опыт: до, во время или после

Мы создаем атмосферу, в которой можно прожить даже сложное и не быть одному.

🕓 Расписание

Zendo работает с 18:00 13/07 до 10:00 16/07 – круглосуточно.

📍 У нас можно:
– прийти на неформальные обсуждения, истории и вопросы на ответы, на нашей уютной террассе, без конкретного расписания
– просто зайти, если хочется опоры, тепла или попить с нами чай в спокойной обстановке
– при неоходимости протестировать ваше вещество (по предварительной договоренности с лидом или ко-лидом)

Наши двери всегда открыты. Мы рядом. 🌿",Zendo работает с 18:00 13/07 до 10:00 16/07 – круглосуточно.,
Bimbo Beach,@kot_ashot,@gricica,@vikargys,Да,Глупые и весёлые вечеринки у бассейна в компании роскошных сучек,"Каждый день:
Активная работа бара - с 20 до 4 (и мб ещё, зависит от гостевых шифтов)
СПА, делаем масочки и мб чё-то наливаем - с 16 до 18
Бьюти бар (красим вас и ваши ногти) - с 18 до 20

Первая ночь, вечеринка открытия:
20:00 - 21:45 Pitchelav: french/disco house + dance performances
21:45 - 22:50 A$$HOT: disco/pop

Понедельник: в 15:00 конкурс мокрых маек

Вторая ночь:
22:30-23:30 Olya: disco/house
23:30-0:30 Petr: latino/disco/house
0:30-2:00 Mary Melty: house/breakbeat

Третья ночь, ностальгическая:
00:00-2:00 Pitcheslav & Kozhurin: золотые хиты лагерных дискотек
2:00-4:20 Pitcheslav: hardgroove techno/ happy hardcore",
Рыдальня ,@gagarin_luybila,@poline_f,@Riceball_is_a_mood,Да,,"РЫДАЛЬНЯ (15:00–03:00, можно приходить в любое время)
День 1
18:00 — Лекция “Сухие факты о слезах”
22:00 — Анимационный показ “Плачь и смотри”

День 2
19:30 — Русалки х Рыдальная ""Моем кости бышим и топим моряков (Локация - Тихий омут)
20:00 — Телесная практика “То всклых, то в плач”

День 3
15:00 — Воркшоп “Горе луковое”: режем лук и собираем слёзы
20:00 — Ритуал оплакивания (перед сожжением Мэна, ждём всех)",
Фан-фан,@vsaxon,@mahakomar,@nemo2c,Да,"Дамы и господа, встречайте! 
💈ФАН-ФАН💈
Пусть закружится Ветерок в урагане безудержного веселья!

🎠Днём – древний аттракцион, живой вихрь смеха и восторга,
🔮Ночью – услада для глаз; арт-объект, то бишь.

Но один в поле – не герой, зови друзей-товарищей! Ведь лишь сообща, в едином порыве и громкой компанией можно его раскрутить. И тогда – о чудо! – он сдует все тревоги, сомнения и душевные доспехи, и одарит всех полётом, доверием и радостью.

🕚 С полудня и до захода солнца — катайся вволю, под присмотром аттракционистов, мастеров потехи и безопасности!
🌙 Но! Остерегись, о смертный! В час ночной на Фан-Фане катаются духи развлечений! Смотри, не тревожь их, а то зазовут с собою — и будет вся жизнь сплошным блядским цирком.

🎭 Так что подходи, не зевай, Фан-Фан раздувай! Прыгай, крутись, от всего освободись!","🕚 С полудня и до захода солнца — катайся вволю, под присмотром аттракционистов, мастеров потехи и безопасности!
🌙 Но! Остерегись, о смертный! В час ночной на Фан-Фане катаются духи развлечений! Смотри, не тревожь их, а то зазовут с собою — и будет вся жизнь сплошным блядским цирком.",
Шариковая,@greenmur,@Den_Led,@and_ih8u2,Да,"Шариковая — это место, где можно забыть о заботах и просто поиграть с шариками!
Бросать, катать, забивать, отбивать и даже пинать — как душе угодно!

Вас ждут:
🏓 безумный пинг-понг с колесом фортуны
⛳ гольф-тир
🌀 настольный лабиринт
🏁 трасса с отскоками

И, конечно, турнир по бесбашаному пинг-понгу!
Не пропусти — записывайся заранее 🤘🏼","Время работы: 11.00-19.00
15ого июля, 12.21: Турнир.   ",
Nevesomo,@Artbit17,@nt3f5h,@reelsulya,Да,"Банный кэмп Nevesomo — это не просто место расслабления. Здесь ваши тело и дух переживут трансформацию.

В Nevesomo вы проходите ритуал очищения, избавляетесь от ненужного — старых лишних мыслей, тяготящих эмоций, зажимов в теле, страхов и сомнений. Баня делает вас чистым и невесомым, открывает вас новому и красочному опыту Ветерка. 

В основной программе — банные сессии длительностью 1 час с дальнейшим досугом в нашей чилл-зоне. Добрый чилл, массажи, мнуши и чайный релакс — это все будет обязательно!","13 июля: вечерние сессии с 17:00
14–15 июля: баня с 12:00 до вечера, free-flow + сессии с перерывом на обед
16 июля: возможно закрывающее парение (TBD)

Мастер-классы и описания банных сессий: узнавайте у нас на гритинге!",Nevesomo — Описание и расписание 25.06.06
Картошка,@postiki,@postiki,@postiki,Да,"Мы будем кормить крошкой картошкой
","Время работы: 
с 6 вечера и до 2-3х ночи",
Сон Алисы,@ledenevapsy,@S_Pereyra,@ArtCherokee,Да,"Кэмп «Сон Алисы»

Если коротко - погрузись в себя… и слегка сойди с ума.

Это путешествие в бессознательное. В самые сокровенные и запутанные уголки внутреннего мира.
А может - в острое ощущение его отсутствия, когда ты стоишь один на краю Вселенной, полной звёзд и пустоты.

Это лабиринт, где ты не просто идёшь по дорожкам - ты движешься сквозь собственные состояния.
Тени шепчут знакомые слова, но их смыслы распадаются.
Зеркала отражают не лицо, а что-то глубже.
Каждый поворот - как вопрос без ответа, на который всё равно хочется отвечать.

Это буфер между магией и реальностью.
Между логикой и абсурдом.
Между тем, кем ты себя считаешь - и тем, кем ты можешь быть.

Пройди. Разбери себя на части. Собери заново.",От заката до рассвета (c 21:00 до 05:00),
drujba / stancia,@harryharry,@jenny_vs,@tepllead,Да,"drujba / stancia

drujba — это бар, в котором все еще 2013 год — здесь мы говорим, готовим и тусим","
Готовим, едим и дружим! 

☀️ 13 июля, воскресенье
13:00 — ""Пирожки & Пирожки"" 
16:00 — ""День святого Валентина"" приходите с партнером или найдите его здесь❤️
20:00 — Своп-вечеринка: обновите костюмы 
23:00 — Эротика на ночь 18+: клубника со сливками и пикантные разговоры
🌈 14 июля, понедельник
10:30 — Актёрская импровизация на завтрак 
13:00 — HARLEM SHAKE: танцы и коктейли 
16:00 — Детский день рождения: весёлые старты, бег со стульями и другие конкурсы эпохи без интернета
18:10 — ""Рисуем на стене"" Готовим чиа пудинг и погружается в коллективное творчество 
20:00 — Рок-н-ролл & Барбекю 
23:00 — Ночной реп версус фристайл ""Дружба / Масала"" 
02:00 — Ночное ток-шоу 
05:00 — ""Good morning, селф-кеар"": смузи, масочки, отходосы 

🐣 15 июля, вторник
10:30 — ""Хипстоутро"": кофе, смузи, инди
13:00 — Похмельный дошик для не хипстоты
16:00 — ASK.FM Задай самые горячие вопросы ветерковцам
20:00 — ЖЖ-Ток ""Кухня 2013"" 
23:00 — Ночной реп версус фристайл ""Дружба / Масала""
02:00 — Ночное ток-шоу ",
Тихий Омут,@yatsenkomarina,@yatsenkomarina,@shmizh,Да,"Русалки / Тихий Омут — притон русалок, существ без души, но с интересом к окружающему миру, беспечным морякам, всему потустороннему и посюсторонним сплетням. В Омуте происходят совместные ритуалы и практики, в него чаще приходят сами, но иногда всё же загулявшая русалка может увести за собой.

Сущности

* Тихий Омут (беседка, притон) — место обитания русалок, куда к нам сами приходят путники
* Русалка — свободно перемещающееся по территории существо, может висеть в сетях, караулить в тени у реки или греться на Бимбо Бич","---

### День 1

* 15:00 — Наполнение сокровищницы: получить предсказание взамен на письмо морю
* 17:00–19:00 — Добро пожаловать на сушиу: танцы

### День 2

* 17:00 — каддл: объятия русалки
* 19:30 — Русалки Х Рыдальня: моим кости бывшим & топим моряков


### День 3

11:30 — разминаем ножки, полученные в обмен на голос
* 14:00–16:00 — Spell casting // spell cleansing ceremony in English/Hebrew or Jibish
* 20:00 — Большой ритуал оплакивания совместно с Рыдальней",
Ветер в кронах,@kiralebar,@Valenkaa,@bbikaz,Да,"Ветер в кронах: где Земля становится небом

Приглашаем вас оторваться от суеты и подняться в наше воздушное царство.
Это не просто чил-зона, это портал в легкое детство и тихое волшебство, притаившийся высоко над землей среди шелеста листьев.  
Найди вход под грибами – наш волшебный портал в сетчатые просторы! Здесь безопасно (следуйте простым правилам!)

Вас ждет:  
○Танец с гравитацией – невесомое валяние, исследование сетчатых лабиринтов, сон в кронах (спальник – твой пропуск в сны!).  
○Минутка детства – чистый восторг и свобода движений.  
○Ночное преображение – когда солнце скроется, мы зажжем волшебные огни, превращая кроны в светящийся собор.  
○Согревание душевным чайком – мы будем разливать тепло и уют!  

☆Ветер в кронах – место, где реальность становится волшебной сказкой.","Летим:  
13.07 с 20:00 до утра 17.07 – КРУГЛОСУТОЧНО!   ",
ТрамонTouch,@ChooseTema,@Gryzloff,@dogmaxxed,Да,"✨ ТрамонTouch

Кемп для тех, кто хочет чувствовать по-настоящему.
Это сенсорный лабиринт, где каждое из шести чувств становится отдельной главой личного приключения. Здесь музыку трогают, вкусы вызывают воспоминания, запахи уносят, а тело говорит: «ВАУ!»

💡 В трёх словах:
Попробуй. Почувствуй. Проживи.

🌀 Зачем тебе к нам:
– Пройти лабиринт из 6 чувств и собрать паспорт ощущений
– Встретиться с собой в зеркалах эмоций
– Погрузиться в театр прикосновений
– Потеряться и найтись в запахах, звуках и текстурах
– Расслабиться на массаже, выпить оригинальный шот, послушать музыку и получить глубокий вау-эффект

🧩 Что внутри:
– Центр: бар, DJ, сено, поющие ветра
– Периферия: 6 тематических зон — зрение, вкус, слух, осязание, обоняние, интуиция
– Сюрпризы: глори-холл эмоций, инверсионные очки, бар-угадайки, вибро-инсталляции, театр прикосновений, оракул подсознания 👁

🎯 Что останется с тобой:
Паспорт ощущений с телесным подтверждением: что тебе вкусно, как слышит тело, какие запахи ты помнишь, каких прикосновений и эмоций тебе не хватает.","Ежедневно: 17:00–21:00 — прохождение лабиринта 6 чувств, театр прикосновений, сенсорные игры, бар-угадайки, вибро-инсталляции и DJ-сеты.
Остальное время — чилл, шоты, массаж, самопогружение в зоны.",
Cube,@kseniasch,@raison_d3,@easmirnov,Да,"Зеркальный куб-капсула для рефлексии во всех смыслах. Снаружи — глитч в пространстве, попытка замаскироваться и подстроиться под окружающую среду. Внутри — убежище от внешнего мира, место, где можно отключиться от шума, суеты и сосредоточиться на своем внутреннем состоянии.",Арт объект доступен всегда,
ЛизнуСосну,@kirainwhite,@Sharpeared,@konst54,Да,"💗✨✨✨✨✨ ✨✨✨✨✨💗

   ✨✨✨✨✨✨
   Хочешь — лизну 
   Хочешь — сосну 
   ✨✨✨✨✨✨

❣️ Добро пожаловать в наш волшебный секс-лес, где возможны любые (консентные!) фантазии. 

❣️ Лес. Деревья. Летнее звёздное небо над головой. 
  Сядь на пушистый ковёр в круг красивых людей, позволь себе просто расслабиться и пошалить - флиртуй, резвись,  играй в бутылочку и отрывайся так, будто тебе снова шестнадцать. 
  Целуй незнакомцев и дорогих сердцу близких. Раскрывай душу и тело, чувствуй ветерок на разгоряченной коже, ласкай, ласкайся, экспериментируй - смелей!

Мы подготовили для вас самые разные места для уединения. И не только уединения, if you know what I mean...

❣️Парящие гамаки для любителей романтики и острых ощущений. 

❣️Уютные гнёзда-шатры для уединения под полупрозрачными многослойными балдахинами (примерно на 5 человек… или сколько вы туда захотите уместить!). 


А вдобавок, мы придумали лучшие десерты для вас, гедонисты!

❣️ Упоительный шибари-перформанс с высотными подвесами, а после него — мастер-класс по шибари. 

❣️ Увлекательные и необычные лекции о сексе на любой вкус:
— БДСМ 
— биохимия боли и удовольствия
— что вы скорее всего не знали об использовании презервативов
— йони-массаж и сквирт (расскажем и покажем)

❣️ Познакомим вас с электроплэем и низкотемпературными свечами, волшебно сияющими в ультрафиолете

❣️ Сенсорная ванна с гелевыми шариками

❣️ Чувственный сенсориум - для тех, кто хочет обнажить восприятие. Заведи свои рецепторы на максимум, осязай слухом, слушай телом.
  Тебя ждут разные текстуры, температуры, запахи, ритмы, прикосновения, вибрации, шёпоты, ожидание и внезапность
Закрой глаза. Вдохни. Отдайся... 

❣️ Секс-квиз с дурацкими и сложными вопросами, или поиграем в смешные, но ужасно возбуждающие карточные игры 

❣️ Тиндер в реальности для общения или поиска партнёров

❣️ Участвуйте в создании  Камасутры Ветерка right here, right now

❇ Игры, чтобы почувствовать себя вечно молодым вечно пьяным: ""Бутылочка"", ""Фанты"", ""Кисмяу"", ""Правда или действие 18+"" 

  Хотите — лизну, сосну, ну вы поняли...
  Мы готовим самое разное наполнение, чтобы все нашли то, что ищут!

❤️ Приходи, почувствуй, позволь, насладись 

✨  Наш кэмп открыт с 20:00 до 02:00 — в это время проходят практики и игры, а вахту несут опытные  гриттеры. 
  В остальное время пространство остаётся доступным для уединения — но мы не гарантируем наличие расходников и надеемся на ваши  самодостаточность и аккуратность 

💋 До встречи в нашем лесном королевстве чувственности!💋","Воскресенье (1 день)
19:00-20:00 Лекция: 
Докажем, что вы не все знаете о презервативах 
20:00-21:00 Мастер-класс: Ваксплей 
21:00-22:00 Мастер-класс: Электроплей
22:00-23:00 Игры 18+ 
23:00-0:00 Игры 18+


Понедельник (2 день)

18:00-19:00 Лекция: 
Нейрохимия удовольствия  
19:00-20:00 Перфоманс: 
Шибари подвес на деревьях
20:00-21:00 Мастер-класс: Шибари 
21:00-22:00 Сенсориум
22:00-23:00 Лекция и мастер-класс: 
Сквирт и массаж йони
23:00-0:00 Игры+


Вторник (3 день)

19:00-20:00 Лекция:
Как и почему работает БДСМ
20:00-21:00 Игры 18+
21-23 сожжение Мэна",
